2010,DC,5925.33,4307,71284
2010,FL,175609.29,201676,2643347
2010,GA,112459.60,123794,1677067
2010,HI,11395.95,12567,179601
2010,ID,15672.54,20588,275859
2010,IL,132982.73,154293,2091654
2010,IN,58121.00,79790,1047232
2010,IA,34642.08,35263,495775
2010,KS,34643.80,34220,483701
2010,KY,42041.84,48525,673128
2010,LA,48655.03,49523,696558
2010,ME,15384.30,14358,189077
2010,MD,58428.47,61971,852211
2010,MA,68754.39,71588,955563
2010,MI,88614.71,118831,1587067
2010,MN,52671.71,61706,838037
2010,MS,32254.83,36113,490526
2010,MO,66734.84,66944,918710
2010,MT,10360.99,10729,141693
2010,NE,22345.16,20875,298500
2010,NV,21839.48,33070,437149
2010,NH,15365.20,15407,194711
2010,NJ,110202.40,99630,1402548
2010,NM,22437.43,24469,338122
2010,NY,211605.54,203761,2734955
2010,NC,98357.47,111112,1490605
2010,ND,8416.95,7298,96323
2010,OH,109281.94,133210,1754191
2010,OK,41277.80,45737,659911
2010,OR,28109.27,42834,570720
2010,PA,129911.39,135876,1793284
2010,RI,11211.80,10954,143793
2010,SC,45210.40,52904,725838
2010,SD,9511.67,9275,126128
2010,TN,66558.10,71475,987422
2010,TX,334996.94,354314,4935715
2010,UT,25676.71,42227,585552
2010,VT,8382.08,6757,96858
2010,VA,70947.13,91877,1251440
2010,WA,53934.11,78448,1043788
2010,WV,20338.46,20455,282879
2010,WI,57625.42,61337,872286
2010,WY,7127.45,6657,89009
2009,AL,47492.00,57027,748889
2009,AK,8083.10,9626,131661
2009,AZ,51947.23,82163,1077831
2009,AR,37240.00,35715,480559
2009,CA,316298.58,472856,6263438
2009,CO,49060.32,59129,832368
2009,CT,43592.83,42999,563968
2009,DE,8639.58,9519,126801
2009,DC,5854.00,4452,69433
2009,FL,183827.00,198245,2634522
2009,GA,115917.90,124084,1667685
2009,HI,11471.65,12967,180196
2009,ID,15200.87,21019,276299
2009,IL,138482.93,155003,2104175
2009,IN,62258.00,80983,1046661
2009,IA,35842.15,35239,491842
2009,KS,34700.10,34596,474489
2009,KY,41980.96,49298,680089
2009,LA,49646.10,52818,690915
2009,ME,16331.40,14438,189225
2009,MD,58462.90,62590,848412
2009,MA,69909.18,72093,957053
2009,MI,92691.22,121463,1649082
2009,MN,52839.12,61281,837053
2009,MS,33103.49,36577,492481
2009,MO,67795.77,67430,917982
2009,MT,10521.25,10911,141807
2009,NE,22256.24,20834,295368
2009,NV,22103.52,33291,428947
2009,NH,15490.60,15517,197140
2009,NJ,115248.00,100749,1396029
2009,NM,22723.73,24126,334419
2009,NY,214803.59,198690,2766052
2009,NC,105036.39,109864,1483397
2009,ND,8365.60,7308,95073
2009,OH,111377.53,134169,1764297
2009,OK,42614.60,45268,654802
2009,OR,28768.01,43261,582839
2009,PA,130983.79,137072,1785993
2009,RI,11366.23,11275,145118
2009,SC,46979.50,52711,723143
2009,SD,9325.99,9251,123713
2009,TN,65360.69,71050,972549
2009,TX,333163.82,346524,4850210
2009,UT,25615.06,40997,571586
2009,VT,8733.88,6647,91451
2009,VA,70827.39,92075,1245340
2009,WA,53447.82,77206,1035347
2009,WV,20298.84,20516,282662
2009,WI,58425.70,61748,872436
2009,WY,7165.53,6606,88155
2008,AL,47818,57809,745668
2008,AK,7927,9673,130662
2008,AZ,54696,81576,1087817
2008,AR,37162,35387,478965
2008,CA,303647,486390,6322528
2008,CO,48692,58733,818443
2008,CT,48463,43027,567198
2008,DE,8322,9908,125430
2008,DC,5321,4540,68681
2008,FL,186361,200736,2631020
2008,GA,118839,123857,1655792
2008,HI,11295,12665,179478
2008,ID,15148,20623,275051
2008,IL,135704,159272,2119707
2008,IN,62668,80874,1046147
2008,IA,35961,35324,487559
2008,KS,35883,34366,471060
2008,KY,43451,49668,670030
2008,LA,49377,51910,684873
2008,ME,15912,14886,192935
2008,MD,58940,63639,843861
2008,MA,70398,73170,958910
2008,MI,94754,123823,1659921
2008,MN,53083,62080,836048
2008,MS,33358,37889,491962
2008,MO,68015,68030,917871
2008,MT,10467,10890,141899
2008,NE,22057,20958,292590
2008,NV,21993,34394,433371
2008,NH,15661,15783,197934
2008,NJ,114713,100894,1381420
2008,NM,22825,24366,330245
2008,NY,217944,201895,2740592
2008,NC,109634,111050,1488645
2008,ND,8181,7364,94728
2008,OH,112845,137479,1817163
2008,OK,46571,45149,645108
2008,OR,30152,43339,575393
2008,PA,129708,139173,1775029
2008,RI,11316,11422,145342
2008,SC,49941,53446,718113
2008,SD,9244,9446,126429
2008,TN,64926,72255,971950
2008,TX,327905,343548,4752148
2008,UT,23657,40261,559778
2008,VT,8766,7004,93625
2008,VA,71415,92881,1235795
2008,WA,54428,78902,1037018
2008,WV,20209,21268,282729
2008,WI,59401,62317,873750
2008,WY,7000,6456,87161
2007,AL,50420,58792,742919
2007,AK,7613,9953,131029
2007,AZ,54032,81196,1087447
2007,AR,33882,35944,479016
2007,CA,305371,490054,6343471
2007,CO,47761,58396,801867
2007,CT,39304,43670,570626
2007,DE,8198,10176,122574
2007,DC,6347,5182,78422
2007,FL,190615,193970,2666811
2007,GA,116857,124544,1649589
2007,HI,11397,13420,179897
2007,ID,15013,20557,272119
